recursive,iterative
0.113625049591,0.128942966461
0.12732219696,0.150739908218
0.381613016129,0.559666872025
0.747275114059,0.593043088913
1.26041603088,0.700397014618
2.18764996529,0.742319107056
3.41571092606,0.801379919052
5.54414010048,0.845049858093
9.69530701637,0.904082775116
15.6268930435,1.21454787254
26.4445540905,1.05043196678
40.9963490963,1.11753892899
66.9864048958,1.16985797882
109.263253927,1.31984806061
176.092700958,1.3449819088
311.008110046,1.73103094101
491.851219893,1.38160419464
787.377416134,1.71114206314
1314.17788315,1.66256403923
2054.71862102,1.69160199165
