n,time
0,0.12849647299935896
1,0.15395801500017114
2,0.35943977300030383
3,0.6022398699997211
4,1.0231838210002024
5,1.681422370999826
6,2.771177104999879
7,4.507068512999467
8,7.287908090000201
9,11.852878815999247
10,19.300028675999783
11,31.229566293999596
12,50.746836923000046
13,82.30099287899975
14,132.90321652000057
15,215.7141724889998
16,349.62678771899937
17,579.3879485970001
18,924.0982074289996
19,1438.9425766140002
20,2387.858248818
