size,time
1,2.860033418983221e-07
2,9.200011845678091e-07
3,1.471998984925449e-06
4,2.091001078952104e-06
5,2.849999873433262e-06
6,3.62699938705191e-06
7,4.440997145138681e-06
8,5.275003786664456e-06
9,6.234004104044288e-06
10,6.784001016058028e-06
11,8.042006811592728e-06
12,9.005001629702747e-06
13,9.743002010509372e-06
14,1.0823998309206218e-05
15,1.1611999070737511e-05
16,1.182300184154883e-05
17,1.1201002052985132e-05
18,1.3320001016836613e-05
19,1.4255005226004869e-05
20,1.4289005775935948e-05
21,1.4165998436510563e-05
22,1.551499735796824e-05
23,1.8589002138469368e-05
24,2.1740997908636928e-05
25,1.8934995750896633e-05
26,1.9849998352583498e-05
27,2.2170999727677554e-05
28,2.274000144097954e-05
29,2.392000169493258e-05
30,2.4708002456463873e-05
31,2.4756998755037785e-05
32,2.6617002731654793e-05
33,2.6464003894943744e-05
34,2.634099655551836e-05
35,3.21870029438287e-05
36,3.0390001484192908e-05
37,3.291200118837878e-05
38,3.1454997952096164e-05
39,3.7522004276979715e-05
40,3.581899363780394e-05
41,3.4964999940712005e-05
42,3.750700125237927e-05
43,3.59010009560734e-05
44,4.007999814348295e-05
45,3.8197002140805125e-05
46,4.240200360072777e-05
47,4.525700205704197e-05
48,4.359599552117288e-05
49,4.237900429870933e-05
50,4.867099778493866e-05
51,5.1953997171949595e-05
52,5.1130002248100936e-05
53,4.9891998060047626e-05
54,4.872999852523208e-05
55,5.089399928692728e-05
56,5.325600068317726e-05
57,5.434400372905657e-05
58,5.669799429597333e-05
59,5.483700078912079e-05
60,6.264499825192615e-05
61,5.800000508315861e-05
62,5.930699990130961e-05
63,6.190600106492639e-05
64,6.341099651763216e-05
65,6.0661004681605846e-05
66,6.111100083217025e-05
67,6.300499808276072e-05
68,6.610499985981733e-05
69,0.0001022889991872944
70,0.00011557100515346974
71,7.063800148898736e-05
72,6.651100557064638e-05
73,7.019400072749704e-05
74,7.631500193383545e-05
75,7.659800030523911e-05
76,7.546099368482828e-05
77,7.694499799981713e-05
78,8.117399556795135e-05
79,8.28320044092834e-05
80,7.818599988240749e-05
81,7.774800178594887e-05
82,9.62330013862811e-05
83,8.547100151190534e-05
